property_id,locality_name,postal_code,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,main_city,province
10893012,tervuren,3080,50.823293,4.5060298,APARTMENT,PENTHOUSE,1299000.0,BUY_REGULAR,4.0,170.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,154.0,,,,4.0,0.0,AS_NEW,tervuren,vlaams-brabant
11032353,ukkel,1180,50.7924941,4.3329619,APARTMENT,DUPLEX,398000.0,BUY_REGULAR,,154.0,HYPER_EQUIPPED,1.0,0.0,0,,,,,,2.0,0.0,AS_NEW,ukkel,brussel
11003886,ursel,9910,51.1301408,3.4849787,APARTMENT,DUPLEX,235000.0,BUY_REGULAR,17.0,97.0,INSTALLED,1.0,,0,1.0,,,,,,,GOOD,aalter,oost-vlaanderen
9422365,neder-over-heembeek,1120,50.8931988,4.3787046,APARTMENT,TRIPLEX,340000.0,BUY_REGULAR,,150.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,11.0,,,,2.0,0.0,AS_NEW,brussel,brussel
11024240,lebbeke,9280,50.9824132,4.1405473,APARTMENT,APARTMENT,255000.0,BUY_REGULAR,,166.0,USA_HYPER_EQUIPPED,1.0,,0,1.0,,,,,2.0,,GOOD,lebbeke,oost-vlaanderen
11010206,antwerpen,2060,51.2184167,4.424929,APARTMENT,FLAT_STUDIO,105000.0,BUY_REGULAR,,32.0,INSTALLED,1.0,,1,,,,,,2.0,,GOOD,antwerpen,antwerpen
11062387,hoei,4500,50.5274329,5.2399811,APARTMENT,APARTMENT,299000.0,BUY_REGULAR,,157.0,INSTALLED,1.0,,1,1.0,10.0,,,,,,GOOD,huy,luik
11147555,lier,2500,51.1347125,4.5629334,APARTMENT,APARTMENT,339000.0,BUY_REGULAR,,97.0,INSTALLED,1.0,,1,1.0,7.0,1.0,,,2.0,,,lier,antwerpen
11142551,waver,1300,,,APARTMENT,APARTMENT,295000.0,BUY_REGULAR,,126.0,INSTALLED,1.0,,1,,,,,,,,TO_RENOVATE,wavre,waals-brabant
11034987,virton,6760,49.5674896,5.5296339,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,,92.0,SEMI_EQUIPPED,1.0,0.0,0,,,,,,2.0,0.0,GOOD,virton,luxemburg
11112079,moerbeke,9180,51.1737134,3.9356438,APARTMENT,GROUND_FLOOR,199000.0,BUY_REGULAR,,60.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,8.0,1.0,42.0,,,0.0,AS_NEW,moerbeke-waas,oost-vlaanderen
9954758,ronse,9600,50.7412883,3.6005423,APARTMENT,APARTMENT,365000.0,BUY_REGULAR,,136.0,HYPER_EQUIPPED,1.0,,1,1.0,41.0,,,,,,,ronse,oost-vlaanderen
11152527,hemiksem,2620,51.138169,4.3456854,APARTMENT,GROUND_FLOOR,419000.0,BUY_REGULAR,,119.0,INSTALLED,1.0,,0,1.0,,1.0,386.0,,3.0,,GOOD,hemiksem,antwerpen
10874649,aalst,9300,50.9269656,4.0345116,APARTMENT,PENTHOUSE,549000.0,BUY_REGULAR,,180.0,INSTALLED,1.0,,1,1.0,15.0,,,,2.0,,GOOD,aalst,oost-vlaanderen
