property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building
10795752,Baarle-Hertog,2387,Tommelshof,29,51.4314241,4.9302216,HOUSE,HOUSE,719000,BUY_REGULAR,,496,USA_HYPER_EQUIPPED,1,0,0,1,,,,1156,4,0,
11153624,Charleroi,6020,Rue Jules Houssière,149,50.420239,4.4335917,HOUSE,HOUSE,110000,BUY_REGULAR,,120,SEMI_EQUIPPED,1,0,0,1,,,,185,2,0,TO_RENOVATE
10986163,Vorst,1190,Avenue Van Volxem,,50.8137348,4.3244681,APARTMENT,APARTMENT,370000,BUY_REGULAR,,107,INSTALLED,1,0,0,1,11,,,,2,,GOOD
11147302,Knokke-Zoute,8300,Zoutelaan,100,51.3500801,3.2979172,APARTMENT,APARTMENT,2295000,BUY_REGULAR,15,154,HYPER_EQUIPPED,1,,0,,,,,,4,,AS_NEW
11112641,Antwerpen,2018,Lange Lozanastraat,201,51.20033,4.4068848,APARTMENT,APARTMENT,309000,BUY_REGULAR,,93,INSTALLED,1,,0,1,4,,,,3,,GOOD
10920424,Keerbergen,3140,Putsebaan,109,51.007626,4.6387161,HOUSE,HOUSE,300000,BUY_REGULAR,,200,,1,0,0,,,1,152,247,2,,
11148789,Ganshoren,1083,Avenue de l'Hôpital Français,8,50.8673039,4.314246,HOUSE,APARTMENT_BLOCK,550000,BUY_REGULAR,,400,USA_HYPER_EQUIPPED,1,0,0,,,,,0,2,0,GOOD
10780897,Zeebrugge,8380,Vismijnstraat,48,51.3330021,3.2056183,APARTMENT,PENTHOUSE,348813,BUY_REGULAR,,82,INSTALLED,1,,1,1,48,,,,2,,
11102772,ANTWERPEN 2018,2018,Jan van Rijswijcklaan,122,51.1959562,4.4044471,APARTMENT,APARTMENT,875000,BUY_REGULAR,,215,HYPER_EQUIPPED,1,,1,1,12,,,,2,,GOOD
11036922,Deinze,9800,Tolpoortstraat,41,50.9813272,3.5292559,APARTMENT,APARTMENT,440000,BUY_REGULAR,11,116,INSTALLED,1,,0,1,18,,,,,,GOOD
11159010,Roosdaal,1760,Knoddelstraat,17,50.846975,4.1355178,HOUSE,EXCEPTIONAL_PROPERTY,630000,BUY_REGULAR,,347,INSTALLED,1,0,0,1,34,1,550,1627,4,0,GOOD
11120141,Zellik,1731,Frans Timmermansstraat,125,50.8870886,4.2755583,APARTMENT,APARTMENT,300000,BUY_REGULAR,,105,HYPER_EQUIPPED,1,0,0,1,5,,,,,,GOOD
11100256,Knokke-Zoute,8300,Leopoldlaan,144,51.3518222,3.2879742,APARTMENT,APARTMENT,445000,BUY_REGULAR,9,48,INSTALLED,1,,0,,,,,,2,,
11150784,Lo-Reninge,8647,Wandelaersdreef,14,50.9688486,2.7818969,HOUSE,HOUSE,435000,BUY_REGULAR,1,180,,,,0,,,1,465,568,3,,GOOD
11163069,Chapelle-lez-Herlaimont,7160,,,,,APARTMENT,GROUND_FLOOR,179000,BUY_REGULAR,,100,USA_INSTALLED,1,,0,1,,,,,,,AS_NEW
11138944,Hasselt,3500,Stadsomvaart,78-84,50.9270713,5.3432201,APARTMENT,APARTMENT,390000,BUY_REGULAR,9,98,HYPER_EQUIPPED,1,,0,,,,,,,,GOOD
11146765,Tielt,8700,Steenovenstraat,61,50.9957288,3.3200705,HOUSE,HOUSE,449000,BUY_REGULAR,,195,,1,0,0,1,,,,909,4,0,
10391888,Lokeren,9160,Uitbreidingslaan,10,51.1171716,4.0090557,APARTMENT,SERVICE_FLAT,195000,BUY_REGULAR,,69,INSTALLED,1,0,0,,,,,,2,1,AS_NEW
10898620,Izegem,8870,Kasteelstraat,33,50.9184467,3.2208307,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11150932,Elsene,1050,Avenue George Bergmann,76,50.8084836,4.3904443,APARTMENT,APARTMENT,315000,BUY_REGULAR,,88,NOT_INSTALLED,1,0,0,1,5,1,50,,2,0,TO_BE_DONE_UP
11148103,Lochristi,9080,Stationsstraat,16,51.0914152,3.8268967,HOUSE,EXCEPTIONAL_PROPERTY,685000,BUY_REGULAR,,153,SEMI_EQUIPPED,1,,1,1,,,,0,4,,GOOD
11151931,Zoersel,2980,Goudbloemlaan,11,51.2526417,4.6367354,HOUSE,HOUSE,435000,BUY_REGULAR,,175,SEMI_EQUIPPED,1,,1,,,1,,779,4,,TO_BE_DONE_UP
11045363,Koksijde,8670,Goudenboomstraat,14,51.1171074,2.6259916,APARTMENT,APARTMENT,425000,BUY_REGULAR,,95,USA_HYPER_EQUIPPED,1,0,0,1,5,,,,2,0,JUST_RENOVATED
11154314,Veurne,8630,Dotterbloemstraat,52,51.082987,2.6647278,HOUSE,HOUSE,440000,BUY_REGULAR,,189,INSTALLED,1,0,0,1,,,,299,3,0,AS_NEW
11036387,Ichtegem,8480,Bruggestraat,53,51.1303579,3.0324918,APARTMENT,APARTMENT,249500,BUY_REGULAR,1,76,,1,,0,,,,,,,,GOOD
11131526,Leuven,3000,Tiensevest,106,50.877022,4.7153731,APARTMENT,APARTMENT,185000,PUBLIC_SALE,,94,INSTALLED,1,,0,1,,,,,,,
11147224,Verviers,4800,Rue des Coteaux,16,50.588833,5.867612,HOUSE,HOUSE,317000,BUY_REGULAR,,138,INSTALLED,1,0,0,1,7,,,234,2,0,JUST_RENOVATED
11141883,Heist-aan-Zee,8301,Duinenstraat,9-13,51.3407674,3.23913,APARTMENT,APARTMENT,465000,BUY_REGULAR,6,78,INSTALLED,1,,0,1,8,,,,,,GOOD
11163172,WORTEL,2323,Pastorijstraat,21,51.3987803,4.7967219,HOUSE,HOUSE,499000,BUY_REGULAR,,190,INSTALLED,1,,0,1,,,,609,3,,
11114300,Nieuwpoort,8620,Albert I-Laan,4,51.1391005,2.7395117,APARTMENT,APARTMENT,649000,BUY_REGULAR,,129,INSTALLED,1,0,0,1,6,,,,2,0,GOOD
11140347,Sint-Pieters-Leeuw,1600,,,,,HOUSE,HOUSE,747007,BUY_REGULAR,15,164,HYPER_EQUIPPED,1,,0,,,,,1800,,,GOOD
11144114,Heist-op-den-Berg,2220,Oude Gendarmeriestraat,15,51.0753065,4.7205152,APARTMENT,PENTHOUSE,549000,BUY_REGULAR,,208,HYPER_EQUIPPED,1,,0,1,52,,,,,,AS_NEW
11153513,Buggenhout,9255,Lijneveldstraat,2,51.0274865,4.2219451,HOUSE,HOUSE,349000,BUY_REGULAR,,268,INSTALLED,1,0,0,1,,,,0,2,0,TO_BE_DONE_UP
11071137,Burcht,2070,Antwerpsesteenweg,2,51.202443,4.3498633,APARTMENT,APARTMENT,415000,BUY_REGULAR,14,130,,,,0,1,,,,,,,GOOD
10754233,Oostende,8400,Distellaan,79,51.2130325,2.8756677,APARTMENT,APARTMENT,169000,BUY_REGULAR,3,62,,,,0,,,,,,,,GOOD
11158966,Ternat,1740,Guido Gezellelaan,11,50.8712131,4.1651005,HOUSE,HOUSE,519000,BUY_REGULAR,,176,HYPER_EQUIPPED,1,,0,1,,,,604,4,0,GOOD
11129520,Nieuwpoort,8620,Albert I laan,282,51.1457774,2.7096213,APARTMENT,APARTMENT,320000,BUY_REGULAR,,65,SEMI_EQUIPPED,1,1,1,1,5,,,,2,,TO_BE_DONE_UP
